config,label,seed,csv,episodes,final_avg10,final_avg50,best_train_reward,final_eval,best_eval
bp_q,BP actor / BP critic (TD3 Q),1,python_runs/reacher_td3_bp_q_seed1_100000.csv,2000,-11.283528171456528,-10.29719164626674,-3.2478351699659163,-7.336174408585514,-7.2854399353779105
bp_q,BP actor / BP critic (TD3 Q),7,python_runs/reacher_td3_bp_q_seed7_100000.csv,2000,-12.151808120153289,-11.897130514894227,-3.3845952572607265,-13.368284435071587,-5.909839680420929
bp_q,BP actor / BP critic (TD3 Q),21,python_runs/reacher_td3_bp_q_seed21_100000.csv,2000,-10.570984484812296,-12.146855604116267,-3.2427106175343337,-7.4773127036778515,-6.207438087902115
bp_q,BP actor / BP critic (TD3 Q),42,python_runs/reacher_td3_bp_q_seed42_100000.csv,2000,-10.305290384732512,-12.256880399297765,-2.821669487622871,-9.002170153726173,-7.028077377428578
bp_q,BP actor / BP critic (TD3 Q),84,python_runs/reacher_td3_bp_q_seed84_100000.csv,2000,-10.725783476663757,-11.731046654659362,-3.254532553452749,-7.737230591493241,-5.38825368669823
bp_aif,"BP actor / BP critic (AIF, G=-Q)",1,python_runs/reacher_td3_bp_aif_seed1_100000.csv,2000,-11.283528171456528,-10.29719164626674,-3.2478351699659163,-7.336174408585514,-7.2854399353779105
bp_aif,"BP actor / BP critic (AIF, G=-Q)",7,python_runs/reacher_td3_bp_aif_seed7_100000.csv,2000,-12.151808120153289,-11.897130514894227,-3.3845952572607265,-13.368284435071587,-5.909839680420929
bp_aif,"BP actor / BP critic (AIF, G=-Q)",21,python_runs/reacher_td3_bp_aif_seed21_100000.csv,2000,-10.570984484812296,-12.146855604116267,-3.2427106175343337,-7.4773127036778515,-6.207438087902115
bp_aif,"BP actor / BP critic (AIF, G=-Q)",42,python_runs/reacher_td3_bp_aif_seed42_100000.csv,2000,-10.305290384732512,-12.256880399297765,-2.821669487622871,-9.002170153726173,-7.028077377428578
bp_aif,"BP actor / BP critic (AIF, G=-Q)",84,python_runs/reacher_td3_bp_aif_seed84_100000.csv,2000,-10.725783476663757,-11.731046654659362,-3.254532553452749,-7.737230591493241,-5.38825368669823
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",1,python_runs/reacher_td3_pcpc_aif_bpequiv_seed1_100000.csv,2000,-12.73352985864345,-11.378863816950318,-2.5678428313175012,-8.299758940258462,-7.375835235960577
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",7,python_runs/reacher_td3_pcpc_aif_bpequiv_seed7_100000.csv,2000,-11.781831856185331,-12.040115374794512,-3.1230562520488054,-12.693001488833566,-6.668544083816769
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",21,python_runs/reacher_td3_pcpc_aif_bpequiv_seed21_100000.csv,2000,-10.082282553765953,-9.807459643443176,-3.1447298876161787,-9.739878498999754,-5.923974073865338
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",42,python_runs/reacher_td3_pcpc_aif_bpequiv_seed42_100000.csv,2000,-11.911854350774897,-11.664744229244201,-2.9304689759654723,-7.9415767052180275,-7.319065909584216
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",84,python_runs/reacher_td3_pcpc_aif_bpequiv_seed84_100000.csv,2000,-10.328203973807593,-10.548536480748057,-2.6646026114166643,-9.218373055395203,-6.903423361570722
